NO,개설부서,교과목-분반,교과목명,이수구분,교과연구,담당교수,"과정
구분",강/실/학,시간표,강의실,"수강
정원","강의
계획서","설명
영상",강의언어
1,기초교육학부,GS0101-01,축구,필수,교과,서문학[61594],학사,2/0/0,화 19:00~21:00,,9,view,,
2,기초교육학부,GS0102-01,테니스,필수,교과,김홍재[63190],학사,2/0/0,월 19:00~21:00,,16,view,,
3,기초교육학부,GS0102-02,테니스,필수,교과,김홍재[63190],학사,2/0/0,화 19:00~21:00,,16,view,,
4,기초교육학부,GS0103-01,농구,필수,교과,배영종[61023],학사,2/0/0,수 19:00~21:00,,5,view,,
5,기초교육학부,GS0103-02,농구,필수,교과,배영종[61023],학사,2/0/0,목 19:00~21:00,,5,view,,
6,기초교육학부,GS0104-01,배드민턴,필수,교과,이기정[61095],학사,2/0/0,수 17:30~19:30,,6,view,,
7,기초교육학부,GS0104-02,배드민턴,필수,교과,이기정[61095],학사,2/0/0,목 17:30~19:30,,6,view,,
8,기초교육학부,GS0105-01,탁구,필수,교과,손향숙[61204],학사,2/0/0,목 17:30~19:30,,11,view,,
9,기초교육학부,GS0105-02,탁구,필수,교과,손향숙[61204],학사,2/0/0,목 19:00~21:00,,11,view,,
10,기초교육학부,GS0106-01,요가,필수,교과,이현화[61203],학사,2/0/0,수 17:30~19:30,,11,view,,
11,기초교육학부,GS0106-02,요가,필수,교과,이현화[61203],학사,2/0/0,수 19:00~21:00,,11,view,,
12,기초교육학부,GS0107-01,골프,필수,교과,박장진[62008],학사,2/0/0,목 19:00~21:00,,11,view,,
13,기초교육학부,GS0108-01,힙합댄스,필수,교과,이은지[62527],학사,2/0/0,화 19:00~21:00,,11,view,,
14,기초교육학부,GS0110-01,헬스,필수,교과,이재호[63191],학사,2/0/0,수 17:30~19:30,,11,view,,
15,기초교육학부,GS0110-02,헬스,필수,교과,이재호[63191],학사,2/0/0,수 19:00~21:00,,11,view,,
16,기초교육학부,GS0112-01,수영,필수,교과,김영민[61593],학사,2/0/0,목 17:30~19:30,,16,view,,
17,기초교육학부,GS0113-01,볼링,필수,교과,조상용[62102],학사,2/0/0,금 17:30~19:30,지스트대학A동(109),16,view,,
18,기초교육학부,GS0114-01,야구,필수,교과,정경운[62208],학사,2/0/0,목 19:00~21:00,,10,view,,
19,기초교육학부,GS0115-01,암벽등반,필수,교과,,학사,2/0/0,화 19:00~21:00,,10,view,,Korean
20,기초교육학부,GS0201-01,피아노,필수,교과,안혜선[61018],학사,2/0/0,화 17:30~19:30,지스트대학A동(103),14,view,,
21,기초교육학부,GS0201-02,피아노,필수,교과,송민경[62980],학사,2/0/0,월 17:30~19:30,지스트대학A동(103),14,view,,
22,기초교육학부,GS0201-03,피아노,필수,교과,송민경[62980],학사,2/0/0,월 19:00~21:00,지스트대학A동(103),14,view,,
23,기초교육학부,GS0202-01,플룻,필수,교과,김보라[61021],학사,2/0/0,월 19:00~21:00,지스트대학A동(109),6,view,,
24,기초교육학부,GS0203-01,바이올린,필수,교과,장문영[62981],학사,2/0/0,목 17:30~19:30,지스트대학A동(105),11,view,,
25,기초교육학부,GS0204-01,첼로,필수,교과,양윤선[61591],학사,2/0/0,화 17:30~19:30,지스트대학A동(102),11,view,,
26,기초교육학부,GS0205-01,클라리넷,필수,교과,박소희[61216],학사,2/0/0,화 17:30~19:30,지스트대학A동(110),11,view,,
27,기초교육학부,GS0206-01,어쿠스틱기타,필수,교과,한근식[61094],학사,2/0/0,월 17:30~19:30,지스트대학A동(108),11,view,,
28,기초교육학부,GS0206-02,어쿠스틱기타,필수,교과,한근식[61094],학사,2/0/0,월 19:00~21:00,지스트대학A동(108),11,view,,
29,기초교육학부,GS0206-03,어쿠스틱기타,필수,교과,한근식[61094],학사,2/0/0,화 19:00~21:00,지스트대학A동(108),11,view,,
30,기초교육학부,GS0207-01,일렉기타,필수,교과,손성훈[61371],학사,2/0/0,월 17:30~19:30,지스트대학A동(102),11,view,,
31,기초교육학부,GS0207-02,일렉기타,필수,교과,손성훈[61371],학사,2/0/0,월 19:00~21:00,지스트대학A동(102),11,view,,
32,기초교육학부,GS0208-01,베이스기타,필수,교과,이재형[63441],학사,2/0/0,월 19:00~21:00,지스트대학A동(107),11,view,,
33,기초교육학부,GS0209-01,드럼,필수,교과,이복근[63192],학사,2/0/0,목 17:30~19:30,,11,view,,
34,기초교육학부,GS0209-02,드럼,필수,교과,이복근[63192],학사,2/0/0,목 19:00~21:00,,11,view,,
35,기초교육학부,GS0210-01,보컬,필수,교과,장진형[61372],학사,2/0/0,화 17:30~19:30,지스트대학A동(227),12,view,,
36,기초교육학부,GS0210-02,보컬,필수,교과,장진형[61372],학사,2/0/0,화 19:00~21:00,지스트대학A동(227),12,view,,
37,기초교육학부,GS0211-01,드로잉,필수,교과,홍원석[63320],학사,2/0/0,수 17:30~19:30,지스트대학A동(110),11,view,,
38,기초교육학부,GS0211-02,드로잉,필수,교과,홍원석[63320],학사,2/0/0,수 19:00~21:00,지스트대학A동(110),11,view,,
39,기초교육학부,GS0211-03,드로잉,필수,교과,홍원석[63320],학사,2/0/0,목 17:30~19:30,지스트대학A동(110),11,view,,
40,기초교육학부,GS0212-01,수채화,필수,교과,윤해옥[61592],학사,2/0/0,수 17:30~19:30,지스트대학A동(116),11,view,,
41,기초교육학부,GS0212-02,수채화,필수,교과,윤해옥[61592],학사,2/0/0,수 19:00~21:00,지스트대학A동(116),11,view,,
42,기초교육학부,GS1001-01,미적분학과 응용,필수,교과,"이광우[62659]
황치옥[60934]",학사,3/1/3,"화 09:00~10:30
수 17:30~18:30
목 09:00~10:30",,40,view,,
43,기초교육학부,GS1001-02,미적분학과 응용,필수,교과,"이광우[62659]
황치옥[60934]",학사,3/1/3,"화 10:30~12:00
수 18:30~19:30
목 10:30~12:00",,40,view,,
44,기초교육학부,GS1001-03,미적분학과 응용,필수,교과,"송정민[61101]
이광우[62659]",학사,3/1/3,"월 09:00~10:30
화 17:30~18:30
수 09:00~10:30",,40,view,,
45,기초교육학부,GS1001-04,미적분학과 응용,필수,교과,"송정민[61101]
이광우[62659]",학사,3/1/3,"월 10:30~12:00
화 18:30~19:30
수 10:30~12:00",,40,view,,
46,기초교육학부,GS1001-05,미적분학과 응용,필수,교과,"강현석[61973]
이광우[62659]",학사,3/1/3,"월 13:00~14:30
수 13:00~14:30
목 17:30~18:30",,40,view,,
47,기초교육학부,GS1001-06,미적분학과 응용,필수,교과,"강현석[61973]
이광우[62659]",학사,3/1/3,"월 14:30~16:00
수 14:30~16:00
목 18:30~19:30",,40,view,,
48,기초교육학부,GS1101-01,일반물리학 및 연습 I,필수,교과,박찬용[62936],학사,3/1/3,"월 10:30~12:00
월 19:00~20:00
수 10:30~12:00",,0,view,,
49,기초교육학부,GS1101-02,일반물리학 및 연습 I,필수,교과,박찬용[62936],학사,3/1/3,"화 10:30~12:00
화 19:00~20:00
목 10:30~12:00",,0,view,,
50,기초교육학부,GS1101-03,일반물리학 및 연습 I,필수,교과,양현석[63524],학사,3/1/3,"월 13:00~14:30
월 19:00~20:00
수 13:00~14:30",,0,view,,
51,기초교육학부,GS1101-04,일반물리학 및 연습 I,필수,교과,양현석[63524],학사,3/1/3,"화 13:00~14:30
화 19:00~20:00
목 13:00~14:30",,0,view,,
52,기초교육학부,GS1101-05,일반물리학 및 연습 I,필수,교과,이종석[61316],학사,3/1/3,"월 10:30~12:00
월 19:00~20:00
수 10:30~12:00",,0,view,,
53,기초교육학부,GS1102-01,일반물리학 및 연습 Ⅱ,선택,교과,문봉진[61664],학사,3/1/3,"월 09:00~10:30
수 09:00~10:30
수 19:00~20:00",,0,view,,
54,기초교육학부,GS1103-01,고급일반물리학 및 연습 I,필수,교과,정진욱[62810],학사,3/1/3,"화 13:00~14:30
목 13:00~14:30
목 19:00~20:00",,0,view,,
55,기초교육학부,GS1111-01,일반물리학 실험 I,필수,교과,이성배[61158],학사,0/2/1,월 16:00~18:00,,0,view,,
56,기초교육학부,GS1111-02,일반물리학 실험 I,필수,교과,이성배[61158],학사,0/2/1,화 10:30~12:00,,0,view,,
57,기초교육학부,GS1111-03,일반물리학 실험 I,필수,교과,이성배[61158],학사,0/2/1,화 16:00~18:00,,0,view,,
58,기초교육학부,GS1111-04,일반물리학 실험 I,필수,교과,이성배[61158],학사,0/2/1,수 10:30~12:00,,0,view,,
59,기초교육학부,GS1111-05,일반물리학 실험 I,필수,교과,이성배[61158],학사,0/2/1,수 16:00~18:00,,0,view,,
60,기초교육학부,GS1111-06,일반물리학 실험 I,필수,교과,이성배[61158],학사,0/2/1,목 10:30~12:00,,0,view,,
61,기초교육학부,GS1111-07,일반물리학 실험 I,필수,교과,이성배[61158],학사,0/2/1,목 13:00~15:00,,0,view,,
62,기초교육학부,GS1111-08,일반물리학 실험 I,필수,교과,이성배[61158],학사,0/2/1,금 10:00~12:00,,0,view,,
63,기초교육학부,GS1111-09,일반물리학 실험 I,필수,교과,이성배[61158],학사,0/2/1,금 13:00~15:00,,0,view,,
64,기초교육학부,GS1111-10,일반물리학 실험 I,필수,교과,이성배[61158],학사,0/2/1,금 16:00~18:00,,0,view,,
65,기초교육학부,GS1201-01,일반화학 및 연습 I,필수,교과,리자오지에[62164],학사,3/1/3,"월 13:00~14:30
월 17:30~18:30
수 13:00~14:30",,40,view,,
66,기초교육학부,GS1201-02,일반화학 및 연습 I,필수,교과,리자오지에[62164],학사,3/1/3,"월 14:30~16:00
수 14:30~16:00
수 17:30~18:30",,40,view,,
67,기초교육학부,GS1201-03,일반화학 및 연습 I,필수,교과,리자오지에[62164],학사,3/1/3,"화 13:00~14:30
수 17:30~18:30
목 13:00~14:30",,40,view,,
68,기초교육학부,GS1201-04,일반화학 및 연습 I,필수,교과,최준호[62923],학사,3/1/3,"월 09:00~10:30
화 17:30~18:30
수 09:00~10:30",,40,view,,
69,기초교육학부,GS1201-05,일반화학 및 연습 I,필수,교과,최준호[62923],학사,3/1/3,"월 10:30~12:00
수 10:30~12:00
목 17:30~18:30",,40,view,,
70,기초교육학부,GS1211-01,일반화학실험 Ⅰ,필수,교과,"김정욱[62297]
조춘실[61321]",학사,0/2/1,월 10:30~12:00,,12,view,,
71,기초교육학부,GS1211-02,일반화학실험 Ⅰ,필수,교과,"김정욱[62297]
조춘실[61321]",학사,0/2/1,월 16:00~18:00,,12,view,,
72,기초교육학부,GS1211-03,일반화학실험 Ⅰ,필수,교과,"김정욱[62297]
조춘실[61321]",학사,0/2/1,화 10:30~12:00,,12,view,,
73,기초교육학부,GS1211-04,일반화학실험 Ⅰ,필수,교과,"김정욱[62297]
조춘실[61321]",학사,0/2/1,화 16:00~18:00,,12,view,,
74,기초교육학부,GS1211-05,일반화학실험 Ⅰ,필수,교과,"김정욱[62297]
조춘실[61321]",학사,0/2/1,수 10:30~12:00,,12,view,,
75,기초교육학부,GS1211-06,일반화학실험 Ⅰ,필수,교과,"김정욱[62297]
조춘실[61321]",학사,0/2/1,수 16:00~18:00,,12,view,,
76,기초교육학부,GS1211-07,일반화학실험 Ⅰ,필수,교과,"조춘실[61321]
최준호[62923]",학사,0/2/1,목 10:30~12:00,,12,view,,
77,기초교육학부,GS1211-08,일반화학실험 Ⅰ,필수,교과,"조춘실[61321]
최준호[62923]",학사,0/2/1,금 10:00~12:00,,12,view,,
78,기초교육학부,GS1211-09,일반화학실험 Ⅰ,필수,교과,"조춘실[61321]
최준호[62923]",학사,0/2/1,금 15:00~17:00,,12,view,,
79,기초교육학부,GS1301-01,생물학,필수,교과,허윤현[63163],학사,3/0/3,"화 10:30~12:00
목 10:30~12:00",,30,view,,
80,기초교육학부,GS1301-02,생물학,필수,교과,허윤현[63163],학사,3/0/3,"화 14:30~16:00
목 14:30~16:00",,30,view,,
81,기초교육학부,GS1302-01,인간 생물학,필수,교과,허윤현[63163],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,30,view,,English
82,기초교육학부,GS1311-01,일반생물학 실험,필수,교과,"김한아[61443]
조경래[61123]",학사,0/2/1,화 10:30~12:00,,8,view,,
83,기초교육학부,GS1311-02,일반생물학 실험,필수,교과,"김한아[61443]
조경래[61123]",학사,0/2/1,화 16:00~18:00,,8,view,,
84,기초교육학부,GS1311-03,일반생물학 실험,필수,교과,"김한아[61443]
조경래[61123]",학사,0/2/1,금 10:00~12:00,,8,view,,
85,기초교육학부,GS1311-04,일반생물학 실험,필수,교과,"김한아[61443]
조경래[61123]",학사,0/2/1,금 14:00~16:00,,8,view,,
86,기초교육학부,GS1401-01,컴퓨터 프로그래밍,필수,교과,"브라이언 도리얼[63478]
오용[61946]",학사,3/1/3,"월 13:00~14:30
수 13:00~14:30
금 13:00~14:00
금 14:00~15:00",,56,view,,
87,기초교육학부,GS1401-02,컴퓨터 프로그래밍,필수,교과,"브라이언 도리얼[63478]
오용[61946]",학사,3/1/3,"화 10:30~12:00
목 10:30~12:00
금 15:00~16:00
금 16:00~17:00",,56,view,,
88,기초교육학부,GS1490-01,SW기초와 코딩,필수,교과,김희숙[62932],학사,1/2/2,화 13:00~16:00,금호정보통신연구동(금호관)(202),30,view,,Korean
89,기초교육학부,GS1490-02,SW기초와 코딩,필수,교과,김희숙[62932],학사,1/2/2,목 13:00~16:00,금호정보통신연구동(금호관)(202),30,view,,Korean
94,기초교육학부,GS1512-01,글쓰기의 기초: 학술적 글쓰기,필수,교과,,학사,3/0/3,"월 09:00~10:30
수 09:00~10:30",,30,view,,
95,기초교육학부,GS1512-02,글쓰기의 기초: 학술적 글쓰기,필수,교과,,학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",,30,view,,
96,기초교육학부,GS1512-03,글쓰기의 기초: 학술적 글쓰기,필수,교과,,학사,3/0/3,"화 13:00~14:30
목 13:00~14:30",,30,view,,
97,기초교육학부,GS1513-01,글쓰기의 기초: 창의적 글쓰기,필수,교과,,학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",,30,view,,
98,기초교육학부,GS1532-01,심화 글쓰기: 고전 읽기와 글쓰기,필수,교과,,학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,20,view,,
99,기초교육학부,GS1601-01,영어 Ⅰ: 신입생 영어,필수,교과,나타샤 파월[61890],학사,3/0/2,"월 14:30~16:00
수 14:30~16:00",,2,view,,
100,기초교육학부,GS1601-02,영어 Ⅰ: 신입생 영어,필수,교과,숀트 카자[62318],학사,3/0/2,"월 14:30~16:00
수 14:30~16:00",,2,view,,
101,기초교육학부,GS1601-03,영어 Ⅰ: 신입생 영어,필수,교과,나타샤 파월[61890],학사,3/0/2,"월 16:00~17:30
수 16:00~17:30",,2,view,,
102,기초교육학부,GS1603-01,영어 Ⅰ: 발표와 토론,필수,교과,엘리스 리[61457],학사,3/0/2,"화 13:00~14:30
목 13:00~14:30",,2,view,,
